rank_type,channel,video_title,pattern,views,comments,buzz_score
バズスコア,Cole Medin,Pi Coding Agent + Archon: Build ANY AI Coding Workflow (No Claude Code Bloat),AI活用,14143,63,7.0
バズスコア,Greg Isenberg,My Claude Code workflow no one knows about,AI活用,38580,57,6.29
バズスコア,Nate Herk | AI Automation,Claude Design Builds Beautiful 3D Websites Instantly (full tutorial),チュートリアル,42055,160,6.15
バズスコア,Matt Wolfe,AI News: The Biggest Leap We've Seen This Year!,トレンド・ニュース,55574,169,5.96
バズスコア,AICodeKing,"Qwen 3.6 27B + Hermes,OpenCode,OpenClaw: THIS IS SO GOOD! The BEST LOCAL AI CODER!",AI活用,7134,12,5.62
バズスコア,Greg Isenberg,Claude Design: Full Walkthrough. I'm blown away.,AI活用,34185,78,5.58
バズスコア,NetworkChuck,I built a network with gachapon machines,その他,289205,113,5.53
バズスコア,AICodeKing,Claude Context: This NEW & SIMPLE PLUGIN is CRAZY!,AI活用,6373,18,5.02
バズスコア,AI Engineer,"[FULL WORKSHOP] AI Coding For Real Engineers - Matt Pocock, AI Hero (@mattpocockuk )",AI活用,20528,31,4.95
バズスコア,Alex Finn,🔴LIVE: ChatGPT 5.5 is here. Does it beat Claude Opus 4.7?,AI活用,9383,25,4.94
バズスコア,NetworkChuck,i didn't want to like this....,その他,257947,1136,4.93
バズスコア,Skill Leap AI,New Google Stitch Just Change Design Forever,その他,15896,15,4.88
バズスコア,Cole Medin,Parallel Claude Code + Git Worktrees: This Setup Will Change How You Ship,AI活用,9829,48,4.87
バズスコア,Nate Herk | AI Automation,OpenAI Image 2 is Nuts. Here are 10 Ways to Use it.,AI活用,32662,92,4.78
バズスコア,AICodeKing,"Addy-Skills + Claude Code,Codex: This 22-SKILL Setup CAN 10X PERFORMANCE!",AI活用,5755,25,4.53
バズスコア,Leonard Jo,GILA! MATCH SENGIT PARAH! LAWAN TOP GLOBAL 17 JULIAN! 10.000 MMR! GIMANA CARA GW MELAWANNYA? | MLBB,その他,12315,122,4.09
バズスコア,Skill Leap AI,ChatGPT 5.5 Is Here: I Tested What It Can Actually Do,その他,12948,22,3.97
バズスコア,Riley Brown,"Codex Just Replaced 1,000 Hours of Video Editing Tutorials",チュートリアル,8507,26,3.9
バズスコア,Cole Medin,I'm Building an AI Dark Factory That Ships Its Own Code (Public Experiment),実装例,7845,37,3.88
再生数,Fireship,Google just casually disrupted the open-source AI narrative…,AI活用,1297616,1476,30.97
再生数,Kai Lentit,Engineer leaving for Big Tech.,その他,1160467,636,331.56
再生数,Fireship,Claude Mythos is too dangerous for public consumption...,AI活用,1037242,2240,24.76
再生数,Fireship,Claude just got another superpower...,AI活用,792176,1220,18.91
再生数,Claude,Introducing Claude Design by Anthropic Labs,AI活用,701920,1163,345.77
再生数,NetworkChuck,Milla Jovovich made an AI memory tool…..it’s pretty good,AI活用,635473,689,12.15
再生数,NetworkChuck,"Gemma 4 on the iPhone (local AI, no internet required)",AI活用,520921,701,9.96
再生数,Fireship,Millions of WordPress sites just got hacked... again,Tips・技術,450707,950,10.76
再生数,Fireship,I finally found a use case for OpenClaw…,事例紹介,368683,749,8.8
再生数,Anthropic,Introducing Claude Opus 4.6,AI活用,367730,586,66.38
再生数,Kai Lentit,I am monitoring the situation.,その他,352485,1721,100.71
再生数,Anthropic,An initiative to secure the world's software | Project Glasswing,プロジェクト紹介,339992,949,61.37
再生数,Kai Lentit,AI CEO vs engineer.,比較,294494,186,84.14
再生数,NetworkChuck,I built a network with gachapon machines,その他,289205,113,5.53
再生数,Anthropic,When AIs act emotional,AI活用,269948,1086,48.73
再生数,Kai Lentit,*every corporate job*,その他,264833,237,75.67
再生数,NetworkChuck,i didn't want to like this....,その他,257947,1136,4.93
再生数,Ali Abdaal,"If I Wanted to Make My First $100K in 2026, I’d Do This",その他,236220,263,3.59
再生数,Kai Lentit,Corporate Unemployee (Day in the Life),その他,212034,197,60.58
再生数,The PrimeTime,A TERRIBLE question,その他,191545,119,17.41
